Ticker,Score,Close,RSI,EMA_Score,MACD_Score,OBV_Score,Pred_Breakout,Pred_Reversal,Pred_EMA_Cross,Volume_Spike,Regime,Percentile
INCY,30.89,106.20999908447266,51.29,26.06,0.0,-100.0,100.0,0.0,100.0,0.97,TREND,81.81
ATAT,30.57,36.92720031738281,32.15,-100.0,200.0,100.0,100.0,0.0,-100.0,1.06,TREND,81.78
ACHV,30.55,5.824999809265137,58.02,100.0,-44.29,100.0,-77.35,-40.08,-24.38,2.49,TREND,81.74
IEI,30.43,119.06999969482422,6.95,-7.64,0.0,93.53,-100.0,0.0,100.0,0.42,RANGE,81.71
VIGI,30.42,93.56999969482422,50.0,6.76,132.95,100.0,100.0,0.0,-100.0,1.06,RANGE,81.67
RYAAY,30.32,68.27999877929688,55.83,-23.52,-14.26,100.0,100.0,-29.17,100.0,1.44,RANGE,81.63
AGNCP,30.26,24.950000762939453,57.64,9.09,-77.29,100.0,99.69,-38.21,59.69,0.95,RANGE,81.56
MSTP,30.26,3.490000009536743,39.58,33.1,0.0,100.0,11.34,0.0,-100.0,0.18,RANGE,81.56
BABX,30.26,44.86660003662109,32.66,-9.66,0.0,100.0,54.97,0.0,100.0,0.38,TREND,81.56
BL,30.07,52.65999984741211,47.48,-100.0,200.0,100.0,40.3,0.0,-100.0,0.94,TREND,81.49
GLXY,30.0,34.29999923706055,80.66,100.0,0.0,100.0,-100.0,-100.0,100.0,0.81,TREND,81.34
ASML,30.0,1358.93994140625,88.27,100.0,0.0,100.0,-100.0,-100.0,100.0,1.34,TREND,81.34
HON,30.0,219.4600067138672,81.03,100.0,0.0,100.0,-100.0,-100.0,100.0,1.19,TREND,81.34
AMAT,30.0,327.0299987792969,79.51,100.0,0.0,100.0,-100.0,-100.0,100.0,1.2,TREND,81.34
AIRR,30.0,113.41000366210938,78.07,100.0,0.0,100.0,-100.0,-100.0,100.0,0.87,TREND,81.34
NRIM,30.0,28.94499969482422,73.07,100.0,0.0,100.0,-100.0,-100.0,100.0,1.35,TREND,81.34
TSSI,30.0,12.045000076293944,77.5,100.0,0.0,100.0,-100.0,-100.0,100.0,1.14,TREND,81.34
LULU,29.98,201.8699951171875,44.3,-74.77,124.4,100.0,100.0,28.5,100.0,1.43,RANGE,81.2
HST,29.97,18.600000381469727,66.7,33.59,200.0,100.0,-83.86,0.0,-100.0,1.23,RANGE,81.16
CBIO,29.96,13.390000343322754,65.81,100.0,0.0,-100.0,-100.0,-79.03,100.0,5.23,TREND,81.12
BNDW,29.94,68.96499633789062,15.25,-2.2,-70.33,100.0,-50.77,0.0,100.0,0.24,RANGE,81.09
GOVI,29.93,27.61000061035156,22.24,-5.84,-97.24,100.0,-100.0,0.0,100.0,1.79,RANGE,81.05
BND,29.89,74.19999694824219,17.41,-3.37,-67.39,100.0,-100.0,0.0,100.0,0.55,RANGE,81.01
METD,29.86,16.8799991607666,41.51,43.07,0.0,100.0,100.0,0.0,-39.35,0.62,RANGE,80.98
VRA,29.85,2.84529995918274,37.87,-100.0,166.18,100.0,100.0,0.0,-100.0,0.73,TREND,80.94
