Ticker,Score,Percentile,Close,EMA_12,EMA_26,MACD,Signal_Line,MACD_Hist,RSI,SMA_50,SMA_200,Bollinger_Upper,Bollinger_Middle,Bollinger_Lower,VWAP,Volume,Volume_Spike,Entry_Tag,Exit_Tag,EMA_Score,MACD_Score,OBV_Score,Pred_Breakout,Pred_Reversal,Pred_EMA_Cross,Regime
TSM,-25.5,21.88,342.3999938964844,341.8301558767835,338.1223535763599,3.707802300423623,4.098854616203325,-0.3910523157797021,70.53234139115371,330.6691827392578,308.3354040527344,356.2847557894931,338.9630218505859,321.6412879116787,313.0914261355861,1673048,0.53,,,100.0,-200.0,100.0,-100.0,-100.0,100.0,TREND
NOK,-36.51,13.41,6.554999828338623,6.576274559366727,6.5658508596329375,0.0104236997337894,0.0173929378543011,-0.0069692381205117,63.76809991727925,6.535911998748779,6.4336495065689085,6.790282453882342,6.562255001068115,6.334227548253888,6.465578882244808,4212357,0.83,,,15.88,-136.27,-100.0,-57.73,0.0,100.0,RANGE
TMC,-44.71,9.06,7.224999904632568,7.419261504343103,7.448350232256677,-0.0290887279135736,0.0098489431032934,-0.038937671016867,34.593914991106715,7.402661981582642,7.177167496681213,7.952645949459357,7.544564986228943,7.13648402299853,7.223091272753335,536978,0.62,,,-39.05,-200.0,100.0,-18.49,0.0,100.0,TREND
TSLA,-47.27,7.58,437.4700012207031,439.4709245463696,440.6544070984013,-1.1834825520317054,-1.173045445162607,-0.0104371068690984,45.119461081332055,442.0181646728517,456.6816610717773,444.21808340783696,439.2275451660156,434.2370069241943,459.1253409322577,3427744,0.68,,,-26.86,-200.0,100.0,100.0,24.4,100.0,TREND
GME,-66.16,2.37,21.09000015258789,21.186078587028675,21.150444784815026,0.035633802213649,0.0405877399383717,-0.0049539377247191,53.18276334943233,21.154392585754398,21.59870512008667,21.443680090872903,21.1398250579834,20.835970025093896,21.70843020890985,735677,1.34,,,16.85,-199.08,-100.0,100.0,-15.91,100.0,RANGE
IMPP,-76.91,0.91,3.704999923706055,3.807139222215621,3.840118484807277,-0.032979262591656,-0.0090592214190467,-0.0239200411726083,13.698664139215296,3.8425239944458007,3.962085993289948,4.037744139379925,3.872114992141724,3.706485844903523,4.037067041107735,43414,0.99,,,-85.88,-170.47,-100.0,-100.0,0.0,100.0,TREND
GUTS,-77.25,0.87,1.919999957084656,1.9712316468852575,1.9902311586757684,-0.0189995117905108,-0.0142442865406844,-0.0047552252498261,32.127823510273885,2.0235600233078004,2.161992504000664,2.036601842107862,1.98718004822731,1.9377582543467584,2.1442035801539,402542,1.8,,,-95.46,-195.1,100.0,100.0,0.0,100.0,TREND
TARK,-77.43,0.84,54.310001373291016,55.01743353101045,55.11723928776891,-0.0998057567584638,0.1361220496996762,-0.235927806458133,40.46857756964936,54.64248031616211,59.765535583496096,57.0119940127692,55.44181022644043,53.87162644011166,59.56582752709908,23019,5.12,,,-18.11,-200.0,-100.0,75.81,0.0,100.0,TREND
IPDN,-78.66,0.8,1.0099999904632568,1.0779934710045314,1.1119494052020802,-0.0339559341975488,-0.0213417172197556,-0.0126142169777931,31.250016298130237,1.155939998626709,1.467196007370949,1.234383379685958,1.1170949935913086,0.9998066074966592,1.3257910551573708,87510,4.28,,,-100.0,-135.09,100.0,-100.0,0.0,100.0,TREND
CORT,-80.26,0.77,34.720001220703125,35.432224371557304,35.95308236837256,-0.5208579968152591,-0.4681771414795767,-0.0526808553356753,20.431486948212083,36.52080017089844,63.56515602111816,37.65937771306541,35.949750137329104,34.2401225615928,48.57666155325972,236284,2.2,ENTRY_LONG_REVERSAL,,-100.0,-200.0,100.0,-100.0,100.0,100.0,TREND
